City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Tahta,EG,67.21,clear sky,26.7693,31.5021,فندق الزيات
1,Uray,RU,32.36,light snow,60.1247,64.7758,Hotel Pioner
2,Warah,PK,86.18,clear sky,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
3,Chuy,UY,76.69,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
5,Cape Town,ZA,67.26,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
6,Porto Nacional,BR,75.2,heavy intensity rain,-10.7081,-48.4172,Vila Real Hotel
7,Tura,IN,71.29,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
8,Georgetown,MY,83.95,scattered clouds,5.4112,100.3354,Cititel Penang
9,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
10,Mataura,NZ,55.54,overcast clouds,-46.1927,168.8643,Ellie's Villa
11,Kodiak,US,36.91,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
14,Mount Abu,IN,69.3,clear sky,24.6,72.7,Hotel Oasis
15,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
16,Buba,GW,96.24,clear sky,11.5833,-15.0,Pousada Bela Vista
17,Kruisfontein,ZA,70.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
20,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
21,Kapaa,US,75.47,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Victoria,HK,65.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
25,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
27,Rikitea,PF,77.86,few clouds,-23.1203,-134.9692,People ThankYou
29,Castro,BR,78.12,few clouds,-24.7911,-50.0119,CHACARA BAILLY
30,Ushuaia,AR,47.86,scattered clouds,-54.8,-68.3,Albatross Hotel
31,Bluff,NZ,59.5,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
32,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
33,Kaitangata,NZ,55.2,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
34,Bahia Blanca,AR,81.57,clear sky,-38.7196,-62.2724,Hotel Argos
35,Hobart,AU,57.25,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
36,Atuona,PF,79.02,overcast clouds,-9.8,-139.0333,Villa Enata
38,Alekseyevka,RU,38.59,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
39,Saint George,US,72.19,few clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
40,Mormugao,IN,83.46,scattered clouds,15.4,73.8,Coconut Creek Resort
41,Ketchikan,US,41.47,clear sky,55.3422,-131.6461,Snow's Cove Lodge
42,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
