,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tahta,EG,26.7693,31.5021,67.21,12,0,6.51,clear sky
1,Uray,RU,60.1247,64.7758,32.36,97,100,12.59,light snow
2,Warah,PK,27.4481,67.7978,86.18,15,0,6.87,clear sky
3,Chuy,UY,-33.6971,-53.4616,76.69,44,0,8.79,clear sky
4,Sindor,RU,62.8629,51.8905,4.17,98,78,4.21,broken clouds
5,Cape Town,ZA,-33.9258,18.4232,67.26,64,20,13.8,few clouds
6,Porto Nacional,BR,-10.7081,-48.4172,75.2,69,74,3.42,heavy intensity rain
7,Tura,IN,25.5198,90.2201,71.29,51,4,4.61,clear sky
8,Georgetown,MY,5.4112,100.3354,83.95,87,40,2.3,scattered clouds
9,Dakar,SN,14.6937,-17.4441,76.08,83,0,18.41,clear sky
10,Mataura,NZ,-46.1927,168.8643,55.54,97,100,0.89,overcast clouds
11,Kodiak,US,57.79,-152.4072,36.91,100,100,10.36,light rain
12,Beringovskiy,RU,63.05,179.3167,-7.15,96,100,4.54,overcast clouds
13,Barrow,US,71.2906,-156.7887,-2.18,71,0,19.57,haze
14,Mount Abu,IN,24.6,72.7,69.3,16,0,6.78,clear sky
15,Iquitos,PE,-3.7481,-73.2472,82.44,78,75,3.44,broken clouds
16,Buba,GW,11.5833,-15.0,96.24,13,9,6.69,clear sky
17,Kruisfontein,ZA,-34.0033,24.7314,70.88,74,100,11.97,overcast clouds
18,Giresun,TR,40.5,38.5,12.09,77,0,2.8,clear sky
19,Saskylakh,RU,71.9167,114.0833,0.36,95,100,11.77,overcast clouds
20,Vaini,TO,-21.2,-175.2,77.16,94,75,10.36,broken clouds
21,Kapaa,US,22.0752,-159.319,75.47,81,40,4.61,scattered clouds
22,Ust-Tsilma,RU,65.441,52.1498,13.98,97,100,3.89,overcast clouds
23,Hearst,CA,49.6835,-83.6665,14.25,71,100,10.0,overcast clouds
24,Victoria,HK,22.2855,114.1577,65.25,86,99,8.99,overcast clouds
25,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,scattered clouds
26,Iskateley,RU,67.6803,53.1512,-1.21,100,95,5.03,overcast clouds
27,Rikitea,PF,-23.1203,-134.9692,77.86,72,17,6.93,few clouds
28,Tiksi,RU,71.6872,128.8694,-17.05,100,88,5.26,overcast clouds
29,Castro,BR,-24.7911,-50.0119,78.12,56,19,2.17,few clouds
30,Ushuaia,AR,-54.8,-68.3,47.86,61,40,14.97,scattered clouds
31,Bluff,NZ,-46.6,168.3333,59.5,81,100,4.29,overcast clouds
32,Cabo San Lucas,MX,22.8909,-109.9124,87.1,54,1,1.99,clear sky
33,Kaitangata,NZ,-46.2817,169.8464,55.2,96,100,0.81,overcast clouds
34,Bahia Blanca,AR,-38.7196,-62.2724,81.57,45,0,17.11,clear sky
35,Hobart,AU,-42.8794,147.3294,57.25,81,100,4.61,overcast clouds
36,Atuona,PF,-9.8,-139.0333,79.02,77,100,16.58,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,17.42,76,75,3.44,light snow
38,Alekseyevka,RU,50.6309,38.6903,38.59,64,100,24.25,overcast clouds
39,Saint George,US,37.1041,-113.5841,72.19,26,20,10.0,few clouds
40,Mormugao,IN,15.4,73.8,83.46,79,40,6.91,scattered clouds
41,Ketchikan,US,55.3422,-131.6461,41.47,81,0,3.44,clear sky
42,Ribeira Grande,PT,38.5167,-28.7,63.0,77,20,10.36,few clouds
43,Tasiilaq,GL,65.6145,-37.6368,26.76,84,100,4.09,overcast clouds
44,Beloha,MG,-25.1667,45.05,70.65,70,21,12.57,few clouds
45,Oussouye,SN,12.485,-16.5469,96.98,46,22,15.84,few clouds
46,Sinnamary,GF,5.3833,-52.95,80.28,75,99,12.8,overcast clouds
47,Manyana,BW,-23.4,21.7167,72.93,43,0,6.76,clear sky
48,Brae,GB,60.3964,-1.353,40.12,64,100,9.01,overcast clouds
49,Hasaki,JP,35.7333,140.8333,48.6,54,100,13.35,overcast clouds
50,Punta Arenas,CL,-53.15,-70.9167,48.22,81,100,6.91,shower rain
51,Kandi,BJ,11.1342,2.9386,89.22,7,9,5.61,clear sky
52,Kieta,PG,-6.2167,155.6333,78.89,86,97,4.74,moderate rain
53,Kargopol,RU,61.5071,38.9456,18.73,92,100,8.16,overcast clouds
54,San Cristobal,VE,7.7669,-72.225,75.38,43,100,7.45,overcast clouds
