City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hamilton,39.1834,-84.5333,52.88,65,75,14.97,US,2022-03-11 20:05:50
1,Pevek,69.7008,170.3133,-5.22,80,1,3.04,RU,2022-03-11 20:09:58
2,Sturgis,41.7992,-85.4192,30.22,64,100,11.5,US,2022-03-11 20:09:59
3,Port Alfred,-33.5906,26.891,74.84,89,22,19.91,ZA,2022-03-11 20:09:59
4,Elesbao Veloso,-6.2019,-42.1403,80.91,83,78,3.89,BR,2022-03-11 20:10:00
5,Shahr-E Babak,30.1165,55.1186,60.04,33,68,11.3,IR,2022-03-11 20:10:00
6,Punta Arenas,-53.15,-70.9167,53.62,62,0,10.36,CL,2022-03-11 20:10:01
7,Severo-Kurilsk,50.6789,156.125,30.78,91,100,4.63,RU,2022-03-11 20:10:01
8,Pacific Grove,36.6177,-121.9166,71.58,34,0,5.75,US,2022-03-11 20:10:02
9,Kapaa,22.0752,-159.319,80.11,74,75,10.36,US,2022-03-11 20:10:03
10,Busselton,-33.65,115.3333,67.37,78,27,3.83,AU,2022-03-11 20:10:04
11,Mitu,1.1983,-70.1733,84.85,68,91,5.03,CO,2022-03-11 20:10:05
12,Sistranda,63.7256,8.834,42.76,75,0,14.29,NO,2022-03-11 20:10:05
13,Havre-Saint-Pierre,50.2334,-63.5986,19.53,66,52,12.97,CA,2022-03-11 20:10:06
14,Castro,-24.7911,-50.0119,71.49,91,76,8.68,BR,2022-03-11 20:10:06
15,Hithadhoo,-0.6,73.0833,82.56,58,27,3.15,MV,2022-03-11 20:10:06
16,Jamestown,42.097,-79.2353,48.52,43,100,13.0,US,2022-03-11 20:07:38
17,Leningradskiy,69.3833,178.4167,2.59,71,2,2.71,RU,2022-03-11 20:10:07
18,Bredasdorp,-34.5322,20.0403,75.76,71,100,6.04,ZA,2022-03-11 20:10:07
19,Aklavik,68.2191,-135.0107,-8.82,93,100,2.98,CA,2022-03-11 20:10:08
20,Vestmannaeyjar,63.4427,-20.2734,42.94,69,100,15.35,IS,2022-03-11 20:10:08
21,Paraiba Do Sul,-22.1619,-43.2928,82.99,72,1,5.64,BR,2022-03-11 20:10:08
22,Sepuka,-4.75,34.5333,62.74,88,53,6.49,TZ,2022-03-11 20:10:09
23,Mataura,-46.1927,168.8643,55.47,93,100,11.48,NZ,2022-03-11 20:10:09
24,Isangel,-19.55,169.2667,79.36,80,7,2.59,VU,2022-03-11 20:10:09
25,Madoc,44.5084,-77.4745,31.96,93,100,2.77,CA,2022-03-11 20:10:10
26,Tiksi,71.6872,128.8694,-9.31,94,100,8.52,RU,2022-03-11 20:10:10
27,Nova Olimpia,-14.7972,-57.2881,84.04,78,38,3.51,BR,2022-03-11 20:10:11
28,Nanortalik,60.1432,-45.2371,15.01,76,90,27.6,GL,2022-03-11 20:10:11
29,Baracoa,20.3467,-74.4958,82.22,69,12,8.3,CU,2022-03-11 20:10:11
30,Constitucion,-35.3333,-72.4167,68.86,56,0,7.16,CL,2022-03-11 20:10:12
31,Atuona,-9.8,-139.0333,77.61,81,99,17.18,PF,2022-03-11 20:10:12
32,Clemencia,10.5665,-75.325,85.37,69,39,14.14,CO,2022-03-11 20:10:12
33,Saint-Francois,46.4154,3.9054,49.44,66,100,13.8,FR,2022-03-11 20:10:13
34,Bagotville,-28.9833,153.4167,64.42,99,95,5.93,AU,2022-03-11 20:10:13
35,Atar,20.5169,-13.0499,77.94,6,0,9.08,MR,2022-03-11 20:10:13
36,Rikitea,-23.1203,-134.9692,77.81,71,7,3.13,PF,2022-03-11 20:10:14
37,Hermanus,-34.4187,19.2345,77.81,76,99,4.63,ZA,2022-03-11 20:10:14
38,Ondjiva,-17.0667,15.7333,74.25,69,73,7.38,AO,2022-03-11 20:10:14
39,Souillac,-20.5167,57.5167,78.73,85,82,11.7,MU,2022-03-11 20:10:15
40,Barrow,71.2906,-156.7887,-0.38,92,100,0.0,US,2022-03-11 20:10:15
41,Plettenberg Bay,-34.0527,23.3716,71.04,92,100,6.62,ZA,2022-03-11 20:10:15
42,Ribeira Grande,38.5167,-28.7,61.2,94,75,20.71,PT,2022-03-11 20:10:16
43,Cabo San Lucas,22.8909,-109.9124,80.62,65,20,9.22,MX,2022-03-11 20:10:16
44,Cape Town,-33.9258,18.4232,77.34,60,83,4.18,ZA,2022-03-11 20:06:18
45,High Level,58.5169,-117.136,12.54,90,100,6.73,CA,2022-03-11 20:11:17
46,Beihai,21.4833,109.1,69.17,84,97,8.72,CN,2022-03-11 20:11:17
47,Ulladulla,-35.35,150.4667,55.76,87,99,3.11,AU,2022-03-11 20:11:17
48,Upernavik,72.7868,-56.1549,-11.94,99,53,8.03,GL,2022-03-11 20:11:18
49,Bluff,-46.6,168.3333,55.8,84,100,27.36,NZ,2022-03-11 20:11:18
50,Ushuaia,-54.8,-68.3,51.46,54,20,20.71,AR,2022-03-11 20:08:43
